Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0022-TCJCI,male,79,No,0,Daly City,94015,37.680844,-122.48131,0,1350,Offer E,Yes,10.67,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,0.22555397163322607,-0.24831296685183654,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services
0023-HGHWL,male,67,No,0,Morgan Hill,95037,37.161544,-121.649371,0,30,Offer E,No,10.67,No,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,-0.9952435902046812,-0.24831296685183654,0,0.0,25.1,Churned,Competitor,Competitor made better offer
0023-UYUPN,female,79,Yes,0,Ahwahnee,93601,37.375816,-119.739935,0,1500,Offer E,Yes,31.43,Yes,No,Cable,9.0,No,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,25.2,-0.4298568651371831,-0.24831296685183654,0,1571.5,2877.8,Stayed,Competitor,Competitor made better offer
0023-XUOPT,female,26,Yes,0,Carnelian Bay,96140,39.227434,-120.091806,1,390,Offer E,Yes,43.56,Yes,Yes,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,-0.4698822912717617,-0.24831296685183654,0,566.28,1781.88,Churned,Other,Don't know
0027-KWYKW,female,30,Yes,2,Alpaugh,93201,35.869626,-119.498771,1,690,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,-0.18994702039557723,-0.24831296685183654,0,802.93,2652.88,Stayed,Other,Don't know
0030-FNXPP,female,22,No,0,Keeler,93530,36.560498,-117.962461,0,90,Offer D,Yes,3.12,No,No,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card,19.85,-0.981078031451429,-0.24831296685183654,0,9.36,66.56,Joined,Other,Don't know
0031-PVLZI,female,34,Yes,0,Korbel,95550,40.7666,-123.80458,0,120,Offer E,Yes,12.43,No,No,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card,20.35,-0.9726272386126509,-0.24831296685183654,0,49.72,126.07,Churned,Price,Long distance charges
0032-PGELS,female,37,Yes,1,Palomar Mountain,92060,33.309852,-116.823091,1,30,Offer E,No,12.43,No,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,-0.9928605990125453,-0.24831296685183654,0,0.0,30.5,Churned,Attitude,Attitude of service provider
0036-IHMOT,female,37,Yes,3,Parlier,93648,36.622237,-119.521126,10,1650,Offer E,Yes,35.04,No,Yes,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,1.4899735111271764,-0.24831296685183654,20,1927.2,7603.95,Stayed,Attitude,Attitude of service provider
0040-HALCW,male,42,Yes,3,Modesto,95358,37.612612,-121.108568,3,1620,Offer E,Yes,19.7,No,No,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,20.4,-0.5250441244230553,-0.24831296685183654,0,1063.8,2154.4,Stayed,Attitude,Attitude of service provider
0042-JVWOJ,male,64,No,0,Glen Ellen,95442,38.368744,-122.522642,0,780,Offer C,Yes,37.7,No,No,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,19.6,-0.7980951985219582,2.4408614907264345,0,980.2,1430.8,Stayed,Attitude,Attitude of service provider
0042-RLHYP,female,47,Yes,3,Eureka,95503,40.737431,-124.108897,5,2070,Offer C,Yes,38.39,No,No,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Bank Withdrawal,19.7,-0.38987556846912547,-0.24831296685183654,0,2648.91,4045.81,Stayed,Attitude,Attitude of service provider
0048-LUMLS,male,23,Yes,3,Moss Beach,94038,37.515556,-122.502311,1,1110,Offer C,Yes,43.01,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,0.42680640370240547,-0.24831296685183654,0,1591.37,4838.92,Stayed,Attitude,Attitude of service provider
0048-PIHNL,female,48,Yes,0,Los Angeles,90058,34.001617,-118.222274,5,1470,Offer B,Yes,49.58,No,No,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,20.45,-0.6087577224134582,-0.24831296685183654,0,2429.42,3330.32,Stayed,Attitude,Attitude of service provider
0052-DCKON,male,28,Yes,0,Los Angeles,90063,34.044271,-118.185237,9,1980,Offer B,Yes,43.77,Yes,Yes,Fiber Optic,41.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,2.498508338998906,-0.24831296685183654,0,2888.82,10830.97,Stayed,Attitude,Attitude of service provider
0052-YNYOT,female,28,No,0,Calexico,92231,32.690654,-115.431225,0,2010,Offer B,Yes,23.12,No,No,Fiber Optic,41.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,20.55,-0.4134848330578791,3.615239795024146,0,1549.04,2861.91,Stayed,Attitude,Attitude of service provider
0056-EPFBG,male,33,Yes,1,Redding,96003,40.677649,-122.29467,4,600,Offer B,No,23.12,No,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,-0.6420754696368395,-0.24831296685183654,0,0.0,825.4,Stayed,Attitude,Attitude of service provider
0057-QBUQH,female,31,No,3,San Martin,95046,37.084697,-121.606417,0,1290,Offer B,Yes,30.64,Yes,No,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,25.1,-0.5340686003266067,-0.24831296685183654,0,1317.52,2387.67,Stayed,Attitude,Attitude of service provider
0058-EVZWM,female,37,Yes,0,Stockton,95209,38.044523,-121.348048,2,1650,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,1.1823249352757823,-0.24831296685183654,0,279.4,5239.0,Stayed,Attitude,Attitude of service provider
0060-FUALY,female,60,Yes,0,Los Angeles,90003,33.964131,-118.272783,4,1770,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,1.4638929964132446,-0.24831296685183654,0,967.01,6564.66,Stayed,Attitude,Attitude of service provider
0064-SUDOG,female,48,Yes,3,Huntington Park,90255,33.97803,-118.217141,3,360,Offer B,Yes,19.28,No,No,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,20.3,-0.9072494339617377,-0.24831296685183654,0,231.36,455.86,Stayed,Attitude,Attitude of service provider
0064-YIJGF,male,60,Yes,3,Yermo,92398,35.013299,-116.834092,7,810,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,-0.15506267711069924,-0.24831296685183654,0,682.02,2611.02,Stayed,Attitude,Attitude of service provider
0067-DKWBL,male,69,No,0,San Diego,92129,32.961064,-117.134917,0,60,Offer C,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,-0.9661181423007982,-0.24831296685183654,0,87.98,179.08,Churned,Competitor,Competitor made better offer
0068-FIGTF,female,20,No,0,Fremont,94539,37.516791,-121.899117,0,810,Offer C,Yes,48.91,No,Yes,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,-0.0888905420624076,-0.24831296685183654,0,1320.57,3399.52,Stayed,Competitor,Competitor made better offer
0071-NDAFP,male,31,Yes,3,Santa Rosa,95405,38.439696,-122.668817,1,750,Offer C,Yes,23.69,Yes,No,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,25.5,-0.7280396704198154,5.373010769883543,0,592.25,1178.43,Stayed,Competitor,Competitor made better offer
0074-HDKDG,male,46,Yes,0,San Jose,95126,37.327069,-121.916819,5,750,Offer C,Yes,6.45,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,-0.29539438064759,5.433754475278252,0,161.25,1727.35,Stayed,Competitor,Competitor made better offer
0076-LVEPS,male,57,No,1,Tujunga,91042,34.296574,-118.244839,0,870,Offer C,No,6.45,No,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,-0.4580335295108638,1.3031825084380273,0,0.0,1230.19,Stayed,Competitor,Competitor made better offer
0078-XZMHT,male,19,Yes,0,Visalia,93291,36.391777,-119.372842,5,2160,Offer C,Yes,32.36,Yes,Yes,DSL,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,1.7809852781001403,-0.24831296685183654,0,2329.92,8646.12,Stayed,Competitor,Competitor made better offer
0080-EMYVY,female,64,No,0,Lodi,95240,38.123544,-121.159078,0,420,Offer C,Yes,24.04,No,Yes,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,-0.6851237642281091,-0.24831296685183654,0,336.56,1064.41,Stayed,Competitor,Competitor made better offer
0080-OROZO,female,38,No,0,El Portal,95318,37.654551,-119.822984,0,1050,Offer C,Yes,36.42,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,0.552332671221489,-0.24831296685183654,0,1274.7,4806.7,Stayed,Competitor,Competitor made better offer
0082-LDZUE,male,54,No,0,Calistoga,94515,38.629618,-122.593216,0,30,Offer E,Yes,42.95,No,Yes,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,-0.9867707326326424,-0.24831296685183654,0,42.95,87.25,Joined,Competitor,Competitor made better offer
0082-OQIQY,male,50,No,0,Farmington,95230,37.956963,-120.863055,0,870,Offer E,Yes,2.05,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,0.14439988270104304,-0.24831296685183654,20,59.45,2687.05,Stayed,Competitor,Competitor made better offer
0083-PIVIK,male,25,No,0,Tulelake,96134,41.813521,-121.492666,0,1920,Offer E,Yes,5.49,Yes,Yes,DSL,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,1.4506100269904134,-0.24831296685183654,40,351.36,5958.91,Stayed,Competitor,Competitor made better offer
0089-IIQKO,female,35,Yes,3,Coleville,96107,38.42528,-119.475741,1,1170,Offer E,Yes,24.38,Yes,Yes,Fiber Optic,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,0.6562134354120049,-0.24831296685183654,0,950.82,4718.22,Stayed,Competitor,Competitor made better offer
0093-EXYQL,female,72,No,0,Ojai,93023,34.581308,-118.931948,0,1200,Offer E,Yes,44.14,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,0.6148199958152742,-0.24831296685183654,0,1765.6,5439.2,Stayed,Competitor,Competitor made better offer
0093-XWZFY,male,51,No,0,Desert Hot Springs,92241,33.832799,-116.250973,0,1200,Offer E,Yes,37.69,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,0.7751202829529332,-0.24831296685183654,0,1507.6,5544.45,Churned,Competitor,Competitor had better devices
0094-OIFMO,female,78,No,1,North Hollywood,91605,34.207295,-118.400022,0,330,Offer D,Yes,11.59,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,-0.5119376728663079,-0.24831296685183654,120,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction
0096-BXERS,female,30,Yes,0,Inverness,94937,38.099323,-122.945723,10,180,Offer E,Yes,42.66,Yes,Yes,Cable,85.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,-0.8675108493595459,-0.24831296685183654,0,255.96,570.51,Stayed,Dissatisfaction,Product dissatisfaction
0096-FCPUF,male,58,No,0,Santa Rosa,95404,38.526941,-122.709096,0,900,Offer E,Yes,2.64,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,-0.17295717578497885,-0.24831296685183654,0,79.2,1967.65,Stayed,Dissatisfaction,Product dissatisfaction
0098-BOWSO,male,26,No,0,San Jose,95131,37.387027,-121.897775,0,810,Offer E,Yes,20.66,No,No,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,19.4,-0.7725221726730185,-0.24831296685183654,0,557.82,1087.62,Stayed,Dissatisfaction,Product dissatisfaction
0100-DUVFC,male,66,Yes,0,Wilmington,90744,33.782068,-118.262263,3,2100,Offer E,Yes,39.49,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,2.2190805569877137,0.5249037830683159,0,2764.3,10067.14,Stayed,Dissatisfaction,Product dissatisfaction
0103-CSITQ,female,20,Yes,0,Modesto,95357,37.670526,-120.877572,10,1710,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,1.7529630668592833,-0.24831296685183654,0,456.57,6709.27,Stayed,Dissatisfaction,Product dissatisfaction
0104-PPXDV,male,61,Yes,0,San Diego,92113,32.697098,-117.116587,10,1740,Offer B,Yes,18.37,No,Yes,DSL,18.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,0.263968672239787,1.046287254372903,0,1065.46,3933.78,Stayed,Dissatisfaction,Product dissatisfaction
0106-GHRQR,male,24,No,0,Rancho Palos Verdes,90275,33.753146,-118.367459,0,480,Offer B,Yes,25.71,Yes,Yes,DSL,48.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,-0.4714268225999979,-0.24831296685183654,0,411.36,1623.46,Stayed,Dissatisfaction,Product dissatisfaction
0106-UGRDO,female,55,Yes,0,Kenwood,95452,38.419525,-122.521585,3,2070,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,2.604727964915037,-0.24831296685183654,0,2657.88,10840.73,Stayed,Dissatisfaction,Product dissatisfaction
0107-WESLM,male,32,No,0,West Point,95255,38.41935,-120.469545,0,30,Offer E,Yes,31.77,No,No,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,19.85,-0.9975603871970355,-0.24831296685183654,0,31.77,51.62,Churned,Attitude,Attitude of support person
0107-YHINA,male,59,No,0,Los Angeles,90062,34.003553,-118.308933,0,30,Offer E,Yes,40.71,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,-0.9623009434467287,-0.24831296685183654,0,40.71,140.46,Churned,Competitor,Competitor had better devices
0111-KLBQG,male,71,Yes,1,Morongo Valley,92256,34.097863,-116.594561,9,960,Offer C,Yes,31.86,No,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,0.2564225334646899,-0.24831296685183654,0,1019.52,3880.97,Stayed,Competitor,Competitor had better devices
0112-QAWRZ,male,49,Yes,2,Palo Verde,92266,33.3249,-114.758334,8,480,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,-0.3698849201350967,-0.24831296685183654,0,779.36,2221.56,Stayed,Competitor,Competitor had better devices
0112-QWPNC,male,61,Yes,0,Valyermo,93563,34.39583,-117.734568,1,1470,Offer B,Yes,39.55,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,0.7850494129201661,-0.24831296685183654,0,1937.95,5997.3,Churned,Competitor,Competitor offered higher download speeds
0114-IGABW,female,40,Yes,0,Cambria,93428,35.591387,-121.032256,2,2130,Offer A,No,39.55,Yes,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,0.8232434661941216,-0.24831296685183654,0,0.0,4145.9,Stayed,Competitor,Competitor offered higher download speeds
0114-PEGZZ,female,39,No,0,Round Mountain,96084,40.923558,-122.059933,0,990,Offer A,Yes,49.69,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,0.6024196157228635,-0.24831296685183654,0,1639.77,5285.27,Stayed,Competitor,Competitor offered higher download speeds
0114-RSRRW,female,21,Yes,0,Klamath,95548,41.572813,-124.035011,9,300,Offer D,Yes,49.6,No,No,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,19.95,-0.923467012908218,-0.24831296685183654,0,496.0,683.75,Stayed,Competitor,Competitor offered higher download speeds
0115-TFERT,male,24,Yes,0,Fresno,93650,36.841655,-119.797113,1,630,Offer D,Yes,36.26,Yes,Yes,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,0.01620378245743686,-0.24831296685183654,120,761.46,3198.56,Churned,Attitude,Attitude of service provider
0117-LFRMW,male,52,Yes,1,Angwin,94508,38.542448,-122.419923,1,1110,Offer D,No,36.26,Yes,Yes,DSL,23.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,-0.36697237534470845,-0.24831296685183654,0,0.0,1448.8,Churned,Competitor,Competitor offered more data
0118-JPNOY,female,71,No,0,Le Grand,95333,37.249377,-120.249581,0,780,Offer D,Yes,33.74,No,Yes,Fiber Optic,7.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,-0.03827404396278055,-0.24831296685183654,0,877.24,3070.89,Stayed,Competitor,Competitor offered more data
0121-SNYRK,male,45,No,0,Redway,95560,40.142256,-123.852927,0,1500,Offer B,No,33.74,No,Yes,DSL,7.0,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,-0.2345398463150829,-0.24831296685183654,0,0.0,1748.9,Stayed,Competitor,Competitor offered more data
0122-OAHPZ,female,29,No,0,San Diego,92122,32.85723,-117.209774,0,210,Offer B,Yes,28.62,Yes,Yes,Fiber Optic,26.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,-0.7807081887126704,1.40062553584204,0,200.34,698.56,Churned,Competitor,Competitor made better offer
0123-CRBRT,female,62,Yes,0,Monterey Park,91755,34.049172,-118.115022,1,1830,Offer B,Yes,47.19,Yes,Yes,DSL,28.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,1.432605204649831,-0.24831296685183654,0,2878.59,8405.34,Stayed,Competitor,Competitor made better offer
0125-LZQXK,male,42,No,0,Big Oak Flat,95305,37.818589,-120.256995,0,450,Offer D,Yes,45.92,No,Yes,Fiber Optic,12.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,-0.32057024129784034,-0.24831296685183654,0,688.8,2242.75,Churned,Attitude,Attitude of service provider
0128-MKWSG,female,51,No,2,Stevenson Ranch,91381,34.364153,-118.615583,0,780,Offer D,No,45.92,No,Yes,DSL,19.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,-0.5001551053051916,-0.24831296685183654,0,0.0,1147.0,Stayed,Attitude,Attitude of service provider
